"Interval","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
1,0.000651423784825671,0.000651391678073549,0.000651286309142992,0.000651291285040021,0.000651296260937051,0.00065130123683408,0.000651306212731109,0.000651311188628138,0.000651316164525168,0.000651321140422197,0.000651326116319226,0.000651331092216256
2,0.000556248992250718,0.000556174970332499,0.000556176675188132,0.000556178380043765,0.000556180084899398,0.000556181789755032,0.000556183494610665,0.000556185199466298,0.000556186904321931,0.000556188609177564,0.000556190314033197,0.000556192018888831
3,0.000502747126611732,0.000502734968269797,0.000502616179998317,0.000502617851226195,0.000502619522454073,0.000502621193681952,0.00050262286490983,0.000502624536137708,0.000502626207365586,0.000502627878593464,0.000502629549821342,0.00050263122104922
4,0.000446766366423598,0.000446768879177916,0.000446771391932234,0.000446773904686552,0.00044677641744087,0.000446778930195188,0.000446781442949506,0.000446783955703824,0.000446786468458142,0.00044678898121246,0.000446791493966778,0.000446794006721096
5,0.000402566440541076,0.000402567487565112,0.000402568534589147,0.000402569581613183,0.000402570628637219,0.000402571675661254,0.00040257272268529,0.000402573769709325,0.000402574816733361,0.000402575863757396,0.000402576910781432,0.000402577957805467
6,0.000411843081436543,0.000411768934848565,0.000411772029289996,0.000411775123731427,0.000411778218172858,0.000411781312614289,0.00041178440705572,0.000411787501497152,0.000411790595938583,0.000411793690380014,0.000411796784821445,0.000411799879262876
7,0.000344821036213232,0.000325476602852571,0.000319819676024852,0.000319771970937415,0.000319866610571034,0.000320564804644054,0.000321262998717075,0.000321961192790095,0.000322659386863115,0.000323357580936135,0.000324055775009155,0.000324753969082175
8,5.37333463940291e-05,-6.1626798050282e-05,-0.000100173077514525,-0.000101445999516826,-0.000100944088141796,-9.65216908165891e-05,-9.20992934913823e-05,-8.76768961661756e-05,-8.32544988409689e-05,-7.88321015157621e-05,-7.44097041905553e-05,-6.99873068653486e-05
9,-0.00045231588300652,-0.000735643593463431,-0.000812485415314715,-0.000811575676245895,-0.000816655475790526,-0.000805700860762811,-0.000794746245735096,-0.000783791630707381,-0.000772837015679666,-0.000761882400651951,-0.000750927785624236,-0.000739973170596521
10,-0.000998337754825386,-0.00148046862306819,-0.0016260556397087,-0.00162513008927981,-0.0016378794843616,-0.00161901178332091,-0.00160014408228021,-0.00158127638123951,-0.00156240868019882,-0.00154354097915812,-0.00152467327811743,-0.00150580557707673
11,-0.00139500694448194,-0.00206033247095792,-0.00226157310690997,-0.00226313372891345,-0.00227718186545405,-0.00225212582010952,-0.002227069774765,-0.00220201372942047,-0.00217695768407594,-0.00215190163873142,-0.00212684559338689,-0.00210178954804236
12,-0.00157087424143622,-0.00235488618357113,-0.00259579283980109,-0.00259995227251179,-0.00261390162336745,-0.00258501645794533,-0.00255613129252322,-0.0025272461271011,-0.00249836096167898,-0.00246947579625687,-0.00244059063083475,-0.00241170546541264
13,-0.00154099396209475,-0.00236755520900915,-0.00262463007287778,-0.00263111071767308,-0.00264424377217578,-0.00261404471078021,-0.00258384564938464,-0.00255364658798908,-0.00252344752659351,-0.00249324846519794,-0.00246304940380238,-0.00243285034240681
14,-0.00145492513303643,-0.00225395790314277,-0.0025001152219228,-0.00250790770073651,-0.00251099447598674,-0.00248185300034351,-0.00245271152470028,-0.00242357004905705,-0.00239442857341383,-0.0023652870977706,-0.00233614562212737,-0.00230700414648414
15,-0.00116915997359637,-0.0018908795856738,-0.0021029288756744,-0.0021111340548934,-0.00210624104003724,-0.00208011097895913,-0.00205398091788101,-0.0020278508568029,-0.00200172079572479,-0.00197559073464667,-0.00194946067356856,-0.00192333061249044
16,-0.000738208350817376,-0.00134083348693248,-0.00152454763103096,-0.00153529089026296,-0.00153551246039127,-0.00151398082492076,-0.00149244918945025,-0.00147091755397974,-0.00144938591850923,-0.00142785428303872,-0.00140632264756821,-0.0013847910120977
17,-0.000386364327414105,-0.000854636734097787,-0.000992372376275419,-0.00100326351520459,-0.00100273406615619,-0.000985990346531545,-0.000969246626906901,-0.000952502907282258,-0.000935759187657614,-0.000919015468032971,-0.000902271748408327,-0.000885528028783684
18,0.000228273885324151,-7.01279091446365e-05,-0.000150295017979492,-0.000158706908018489,-0.000156991303984214,-0.000146606550832637,-0.000136221797681061,-0.000125837044529485,-0.000115452291377909,-0.000105067538226332,-9.46827850747558e-05,-8.42980319231794e-05
19,0.000742341512561954,0.000611952962895762,0.000580003543545637,0.00057510183876133,0.000576420567819143,0.000580612138828362,0.000584803709837581,0.000588995280846799,0.000593186851856018,0.000597378422865236,0.000601569993874455,0.000605761564883674
20,0.00100466126485952,0.000981725417764755,0.000975821233386139,0.000975934135190567,0.000976192824887606,0.000976861779169624,0.000977530733451642,0.000978199687733661,0.000978868642015679,0.000979537596297697,0.000980206550579715,0.000980875504861734
21,0.00105075219213598,0.00105067767699088,0.00105068144557352,0.00105068521415617,0.00105068898273882,0.00105069275132146,0.00105069651990411,0.00105070028848675,0.0010507040570694,0.00105070782565205,0.00105071159423469,0.00105071536281734
22,0.000991888496449016,0.000991890369356406,0.000991892242263796,0.000991894115171186,0.000991895988078576,0.000991897860985966,0.000991899733893356,0.000991901606800746,0.000991903479708137,0.000991905352615527,0.000991907225522917,0.000991909098430307
23,0.000803471269791284,0.000803360728947014,0.000803363776050913,0.000803366823154812,0.000803369870258711,0.00080337291736261,0.000803375964466509,0.000803379011570408,0.000803382058674307,0.000803385105778206,0.000803388152882105,0.000803391199986004
24,0.000677808366917077,0.000677761976420843,0.000677651978958562,0.000677655569392994,0.000677659159827427,0.000677662750261859,0.000677666340696291,0.000677669931130723,0.000677673521565155,0.000677677111999588,0.00067768070243402,0.000677684292868452
25,0.00056767687530401,0.000567660342147376,0.000567662740281134,0.000567665138414891,0.000567667536548648,0.000567669934682405,0.000567672332816162,0.000567674730949919,0.000567677129083676,0.000567679527217434,0.000567681925351191,0.000567684323484948
26,0.000489778907736212,0.000489645874997813,0.000489538545050876,0.000489541557382245,0.000489544569713615,0.000489547582044984,0.000489550594376353,0.000489553606707723,0.000489556619039092,0.000489559631370461,0.000489562643701831,0.0004895656560332
27,0.000452227183745445,0.000452061311201791,0.000452063710506341,0.00045206610981089,0.00045206850911544,0.000452070908419989,0.000452073307724538,0.000452075707029088,0.000452078106333637,0.000452080505638187,0.000452082904942736,0.000452085304247285
28,0.000430991855582658,0.000430994556820608,0.000430997258058557,0.000430999959296506,0.000431002660534456,0.000431005361772405,0.000431008063010354,0.000431010764248304,0.000431013465486253,0.000431016166724202,0.000431018867962152,0.000431021569200101
29,0.000420837574232254,0.0004207259119823,0.000420727837063044,0.000420729762143787,0.00042073168722453,0.000420733612305273,0.000420735537386016,0.000420737462466759,0.000420739387547503,0.000420741312628246,0.000420743237708989,0.000420745162789732
30,0.000439314178309628,0.000439314791336447,0.000439315404363267,0.000439316017390087,0.000439316630416907,0.000439317243443727,0.000439317856470547,0.000439318469497367,0.000439319082524187,0.000439319695551007,0.000439320308577827,0.000439320921604647
31,0.000391869834171615,0.000375436150616911,0.000369725775506158,0.000369904101332238,0.000370458003942297,0.00037108914579727,0.000371720287652242,0.000372351429507214,0.000372982571362187,0.000373613713217159,0.000374244855072131,0.000374875996927103
32,0.000166939755249241,8.73457653729884e-05,6.10152747078785e-05,6.04878749576833e-05,6.12844871693567e-05,6.46817779682425e-05,6.80790687671283e-05,7.14763595660141e-05,7.48736503648999e-05,7.82709411637857e-05,8.16682319626716e-05,8.50655227615573e-05
33,-0.000221038156996875,-0.000411436618248454,-0.000465227539080722,-0.000464395464169495,-0.000464834696166159,-0.000456758169202123,-0.000448681642238087,-0.000440605115274051,-0.000432528588310016,-0.00042445206134598,-0.000416375534381944,-0.000408299007417908
34,-0.000509063531871937,-0.000815081669640284,-0.0009094214732057,-0.00090515512113791,-0.000902408565831643,-0.000890543705951101,-0.000878678846070559,-0.000866813986190018,-0.000854949126309477,-0.000843084266428935,-0.000831219406548393,-0.000819354546667851
35,-0.000767657475752232,-0.00116294669956227,-0.00127519668293121,-0.00127408898215755,-0.00127794883458351,-0.0012629988377121,-0.00124804884084068,-0.00123309884396927,-0.00121814884709786,-0.00120319885022644,-0.00118824885335503,-0.00117329885648361
36,-0.00104005738154196,-0.00152775377050459,-0.00166524685800588,-0.00166836413355833,-0.00167635273845102,-0.00165785560107327,-0.00163935846369552,-0.00162086132631777,-0.00160236418894002,-0.00158386705156228,-0.00156536991418453,-0.00154687277680678
37,-0.00123587146711565,-0.00181230533274289,-0.00196104212773031,-0.00196594818788731,-0.00197801879451039,-0.00195631481500455,-0.00193461083549871,-0.00191290685599287,-0.00189120287648703,-0.00186949889698119,-0.00184779491747535,-0.00182609093796951
38,-0.00105074302620803,-0.00157943497956764,-0.00170198727403111,-0.00169771685190401,-0.00169800678279481,-0.00167897999753069,-0.00165995321226656,-0.00164092642700243,-0.0016218996417383,-0.00160287285647417,-0.00158384607121004,-0.00156481928594592
